"Alder";"2025"
"9–12 år";"253"
"13–15 år";"363"
"16-19 år";"426"
"20-24 år";"439"
"25–34 år";"386"
"35-44 år";"341"
"45–54 år";"332"
"55-66 år";"287"
"67–79 år";"226"
"80 år eller eldre";"236"
